time,biomass
2000-06-15 12:00:00,580077830036154.0
2000-07-16 00:00:00,753677547876419.4
2000-08-16 00:00:00,851186107428039.0
2000-09-15 12:00:00,1119543644754729.5
2000-10-16 00:00:00,1411538777536007.0
2000-11-15 12:00:00,1122950343450255.0
2000-12-16 00:00:00,917170427220676.2
2001-01-16 00:00:00,773131251096992.1
2001-02-14 12:00:00,769402186969760.8
2001-03-16 00:00:00,767597646233558.6
2001-04-15 12:00:00,551836473377031.75
2001-05-16 00:00:00,430067473398159.5
2001-06-15 12:00:00,343159529486246.1
2001-07-16 00:00:00,430860471402728.56
2001-08-16 00:00:00,611444863588033.1
2001-09-15 12:00:00,827326508823345.4
2001-10-16 00:00:00,986013353515891.4
2001-11-15 12:00:00,1185399079176587.8
2001-12-16 00:00:00,1489111647392402.8
2002-01-16 00:00:00,1179503090872030.0
2002-02-14 12:00:00,909595093025781.5
2002-03-16 00:00:00,616481208151604.9
2002-04-15 12:00:00,331967959825791.1
2002-05-16 00:00:00,179580435260385.47
2002-06-15 12:00:00,150428722118255.38
2002-07-16 00:00:00,156096333123869.56
2002-08-16 00:00:00,308013866297356.6
2002-09-15 12:00:00,507027816970529.6
2002-10-16 00:00:00,781280423907314.8
2002-11-15 12:00:00,1171718046136972.5
2002-12-16 00:00:00,1608006337530449.0
2003-01-16 00:00:00,1434012653362260.5
2003-02-14 12:00:00,810136655462974.5
2003-03-16 00:00:00,457288395522280.1
2003-04-15 12:00:00,344777890461990.4
2003-05-16 00:00:00,100526894346870.23
2003-06-15 12:00:00,59928012309748.164
2003-07-16 00:00:00,130963777458636.73
2003-08-16 00:00:00,120646545611798.89
2003-09-15 12:00:00,179214355277396.97
2003-10-16 00:00:00,399446411290850.6
2003-11-15 12:00:00,827272600478567.2
2003-12-16 00:00:00,1199168527334388.2
2004-01-16 00:00:00,1434320976795970.2
2004-02-14 12:00:00,1256444876049581.0
2004-03-16 00:00:00,758040521561829.5
2004-04-15 12:00:00,450430773186690.6
2004-05-16 00:00:00,199017286776478.53
2004-06-15 12:00:00,223251519485127.0
2004-07-16 00:00:00,355427197832253.3
2004-08-16 00:00:00,654823602481659.0
2004-09-15 12:00:00,849006134015755.5
2004-10-16 00:00:00,1383348950070097.0
2004-11-15 12:00:00,2135094422474331.5
2004-12-16 00:00:00,1510487163092432.2
2005-01-16 00:00:00,745904807022681.5
2005-02-14 12:00:00,538164752983507.75
2005-03-16 00:00:00,482914297438749.5
2005-04-15 12:00:00,288509454244285.94
2005-05-16 00:00:00,120230165359762.78
2005-06-15 12:00:00,42616382849299.54
2005-07-16 00:00:00,147298025555759.84
2005-08-16 00:00:00,377775328815941.6
2005-09-15 12:00:00,551582584762607.4
2005-10-16 00:00:00,776577638616608.4
2005-11-15 12:00:00,1024194542373748.2
2005-12-16 00:00:00,1164022316852386.5
2006-01-16 00:00:00,1628504916062255.0
2006-02-14 12:00:00,1992458403917012.2
2006-03-16 00:00:00,1425067663957178.2
2006-04-15 12:00:00,891593209932575.6
2006-05-16 00:00:00,546140780775148.6
2006-06-15 12:00:00,365957846717365.0
2006-07-16 00:00:00,310419466279706.1
2006-08-16 00:00:00,464425488971747.6
2006-09-15 12:00:00,649536506441800.5
2006-10-16 00:00:00,798067480377793.4
2006-11-15 12:00:00,582292178042323.1
2006-12-16 00:00:00,256395891709291.5
2007-01-16 00:00:00,793955286545392.6
2007-02-14 12:00:00,473872885154265.0
2007-03-16 00:00:00,156525230215031.75
2007-04-15 12:00:00,120239377142795.62
2007-05-16 00:00:00,19862047323323.984
2007-06-15 12:00:00,5270782947409.741
2007-07-16 00:00:00,24439890702143.184
2007-08-16 00:00:00,75849538108775.66
2007-09-15 12:00:00,231160299524144.1
2007-10-16 00:00:00,433751746266701.8
2007-11-15 12:00:00,702733266638801.5
2007-12-16 00:00:00,781187048255657.2
2008-01-16 00:00:00,1067125669316662.8
2008-02-14 12:00:00,1031415154771151.8
2008-03-16 00:00:00,904345772279626.2
2008-04-15 12:00:00,877022605553020.6
2008-05-16 00:00:00,797185686253467.2
2008-06-15 12:00:00,786699224371542.5
2008-07-16 00:00:00,647768257412651.9
2008-08-16 00:00:00,558835002419336.4
2008-09-15 12:00:00,439010915038502.5
2008-10-16 00:00:00,614605471303913.4
2008-11-15 12:00:00,816927977474125.9
2008-12-16 00:00:00,795847213274128.0
2009-01-16 00:00:00,858032892895220.4
2009-02-14 12:00:00,764543211761675.0
2009-03-16 00:00:00,659477342011435.2
2009-04-15 12:00:00,501508320514669.1
2009-05-16 00:00:00,213938478076650.03
2009-06-15 12:00:00,97124800549278.84
2009-07-16 00:00:00,196247394622976.2
2009-08-16 00:00:00,425786174602222.06
2009-09-15 12:00:00,573197466270188.5
2009-10-16 00:00:00,823258852880958.0
2009-11-15 12:00:00,1115034911458347.9
2009-12-16 00:00:00,1165203651221366.0
2010-01-16 00:00:00,671898392526870.8
2010-02-14 12:00:00,583888878397930.8
2010-03-16 00:00:00,366015297783594.5
2010-04-15 12:00:00,267037994510309.22
2010-05-16 00:00:00,40133194594320.75
2010-06-15 12:00:00,15571093620433.262
2010-07-16 00:00:00,64225540244337.44
2010-08-16 00:00:00,168885088601747.03
2010-09-15 12:00:00,306754548650213.3
2010-10-16 00:00:00,529150676642162.2
2010-11-15 12:00:00,950639960102419.0
2010-12-16 00:00:00,1445427301645424.0
2011-01-16 00:00:00,1948747039511523.0
2011-02-14 12:00:00,2643422825666063.5
2011-03-16 00:00:00,2629448539144258.5
2011-04-15 12:00:00,1611489966024405.5
2011-05-16 00:00:00,1012152799457117.2
2011-06-15 12:00:00,960786207463876.0
2011-07-16 00:00:00,1059749074716645.0
2011-08-16 00:00:00,1142886338650798.0
2011-09-15 12:00:00,1271419380273385.0
2011-10-16 00:00:00,1170089959565261.8
2011-11-15 12:00:00,533221590286727.4
2011-12-16 00:00:00,309895648548399.25
2012-01-16 00:00:00,289888073368629.44
2012-02-14 12:00:00,206940707755808.44
2012-03-16 00:00:00,177407268799585.62
2012-04-15 12:00:00,229194545568548.94
2012-05-16 00:00:00,154885500769844.78
2012-06-15 12:00:00,84478214356366.72
2012-07-16 00:00:00,173230048639241.03
2012-08-16 00:00:00,452775017091832.94
2012-09-15 12:00:00,692673957258781.5
2012-10-16 00:00:00,769897102851350.0
