IslandID,Island,Archipelago,#sp,Extant,Extirpated,Country/ Territory ,Area (sq. km),Income Group (GDP per Cap.),Human Presence,Habitation,Invasive Vertebrate Presence,Latitudinal Zone,Biogeographic Realm,Biome,Marine Realm,Marine Province,Marine Ecoregion
44260,Padar,Lesser Sunda Islands,1,1,,ID,13.567,Lower middle income,No,None,Present,Tropical,Australasia,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Western Coral Triangle,Lesser Sunda
60480,Malakal,Palau,1,1,,PW,1.129,Upper middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,West Caroline Islands
62400,Vuaqava,Fiji (Lau Group),2,2,,FJ,8.684,Upper middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Tropical Southwestern Pacific,Fiji Islands
65650,Asuncion,Mariana Islands,3,3,,MP,7.803,High income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,Mariana Islands
66120,Aguiguan,Mariana Islands,6,6,,MP,7.205,High income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,Mariana Islands
76270,Sarigan,Mariana Islands,5,5,,MP,4.265,High income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,Mariana Islands
79380,North Iwo (Kitaiwojima),Volcano Islands,1,1,,JP,5.559,High income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,Ogasawara Islands
85970,Ogea Driki,Fiji (Lau Group),2,2,,FJ,5.261,Upper middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Tropical Southwestern Pacific,Fiji Islands
88200,Guguan,Mariana Islands,3,3,,MP,4.121,High income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,Mariana Islands
94220,Vatu Varu,Fiji (Lau Group),3,3,,FJ,3.382,Upper middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Tropical Southwestern Pacific,Fiji Islands
119230,North East,Groote Eylandt (Northern Territory),1,1,,AU,2.312,High income,No,None,Present,Tropical,Australasia,"Tropical and Subtropical Grasslands, Savannas and Shrublands",Central Indo-Pacific,Sahul Shelf,Arnhem Coast to Gulf of Carpenteria
151170,Ulong,Palau,1,1,,PW,0.557,Upper middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,West Caroline Islands
191720,East Maug,Mariana Islands (Maug Islands),2,2,,MP,0.870,High income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,Mariana Islands
197700,Farallon de Medinilla,Mariana Islands,1,1,,MP,0.761,High income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,Mariana Islands
198010,Makodroga,Fiji (Lomaiviti Group),1,1,,FJ,0.829,Upper middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Tropical Southwestern Pacific,Fiji Islands
200650,Ngercheu,Palau,1,1,,PW,1.121,Upper middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,West Caroline Islands
210910,West Maug,Mariana Islands (Maug Islands),2,2,,MP,0.587,High income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,Mariana Islands
221450,Ngerukewid Group,Palau,1,1,,PW,0.477,Upper middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,West Caroline Islands
237930,Monu,Fiji (Mamanuca Group),1,1,,FJ,0.655,Upper middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Tropical Southwestern Pacific,Fiji Islands
248510,Euidelchol,Palau,1,1,,PW,0.491,Upper middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,West Caroline Islands
263260,Aiwa West,Fiji (Lau Group),3,3,,FJ,0.632,Upper middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Tropical Southwestern Pacific,Fiji Islands
264180,Yadua Taba,Fiji (Lomaiviti Group),2,2,,FJ,0.696,Upper middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Tropical Southwestern Pacific,Fiji Islands
271630,Ile Brosse,New Caledonia Islands,1,1,,NC,0.674,High income,No,None,Present,Tropical,Australasia,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Tropical Southwestern Pacific,New Caledonia
306890,Sorlen,Caroline Islands (Ulithi Islands),1,1,,FM,0.258,Lower middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,West Caroline Islands
318600,North Maug,Mariana Islands (Maug Islands),2,2,,MP,0.424,High income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,Mariana Islands
321540,Aiwa East,Fiji (Lau Group),2,2,,FJ,0.690,Upper middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Tropical Southwestern Pacific,Fiji Islands
364340,Macuata,Fiji (Viti Levu Group),1,1,,FJ,0.350,Upper middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Tropical Southwestern Pacific,Fiji Islands
449080,Potanderas (Potongras),Caroline Islands (Ulithi Islands),1,1,,FM,0.259,Lower middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,West Caroline Islands
477190,Nahpali,Caroline Islands (Pohnpei),1,1,,FM,0.093,Lower middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,East Caroline Islands
477210,Lemasul,Caroline Islands (Chuuk Islands),2,2,,FM,0.211,Lower middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,East Caroline Islands
492010,Lossau (Lothow),Caroline Islands (Ulithi Islands),1,1,,FM,0.174,Lower middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,West Caroline Islands
607050,Feitabul,Caroline Islands (Ulithi Islands),1,1,,FM,0.144,Lower middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,West Caroline Islands
608160,Pigelelel (Piglalei),Caroline Islands (Ulithi Islands),1,1,,FM,0.117,Lower middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,West Caroline Islands
622890,Mangejang (Mangyang),Caroline Islands (Ulithi Islands),1,1,,FM,0.133,Lower middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,West Caroline Islands
709500,Lam,Caroline Islands (Ulithi Islands),1,1,,FM,0.113,Lower middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,West Caroline Islands
762170,Yanuya,Fiji (Lau Group(Ono-i-Lau Group)),2,2,,FJ,0.107,Upper middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Tropical Southwestern Pacific,Fiji Islands
770440,Sorenleng (Doroleng),Caroline Islands (Ulithi Islands),1,1,,FM,0.109,Lower middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,West Caroline Islands
828560,Uataluk,Caroline Islands (Pohnpei),2,2,,FM,0.046,Lower middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,East Caroline Islands
