"","Atoll_Island","Species","Census","Value.high.nn","Value.high.nn.q2.5","Value.high.nn.q97.5","Value.low.nn","Value.low.nn.q2.5","Value.low.nn.q.97.5","Size_Ha","Season.length","Mass","Defecation.rate","NitrogenInput.Current","NitrogenInput.high.nn","NitrogenInput.low.nn"
"325","Great_Chagos_Bank_Eagle_Island","Sula_leucogaster",0,0,0,0,0,0,0,243.5,326.3,1.35,29.2061668275245,0,0,0
"331","Peros_Banhos_Coin","Sula_leucogaster",0,0,0,0,0,0,0,127.5,326.3,1.35,29.2061668275245,0,0,0
"333","Peros_Banhos_Monpatre_complex","Sula_leucogaster",0,0,0,0,0,0,0,4.5,326.3,1.35,29.2061668275245,0,0,0
"334","Peros_Banhos_Poule","Sula_leucogaster",0,0,0,0,0,0,0,108,326.3,1.35,29.2061668275245,0,0,0
"335","Peros_Banhos_Petit_Souer","Sula_leucogaster",0,0,0,0,0,0,0,41.5,326.3,1.35,29.2061668275245,0,0,0
"336","Peros_Banhos_Grand_Souer","Sula_leucogaster",0,0,0,0,0,0,0,64,326.3,1.35,29.2061668275245,0,0,0
"341","Peros_Banhos_Pierre","Sula_leucogaster",0,0,0,0,0,0,0,150,326.3,1.35,29.2061668275245,0,0,0
"342","Peros_Banhos_Petite_Mapou","Sula_leucogaster",0,0,0,0,0,0,0,10,326.3,1.35,29.2061668275245,0,0,0
"343","Peros_Banhos_Grande_Mapou","Sula_leucogaster",0,0,0,0,0,0,0,19.5,326.3,1.35,29.2061668275245,0,0,0
"344","Peros_Banhos_Diamant","Sula_leucogaster",0,0,0,0,0,0,0,88.5,326.3,1.35,29.2061668275245,0,0,0
"345","Peros_Banhos_Passe","Sula_leucogaster",0,0,0,0,0,0,0,22.5,326.3,1.35,29.2061668275245,0,0,0
"346","Peros_Banhos_Moresby","Sula_leucogaster",0,0,0,0,0,0,0,43.5,326.3,1.35,29.2061668275245,0,0,0
"354","Peros_Banhos_Yeye","Sula_leucogaster",0,0,0,0,0,0,0,58.5,326.3,1.35,29.2061668275245,0,0,0
"359","Peros_Banhos_Fouquet","Sula_leucogaster",0,0,0,0,0,0,0,2,326.3,1.35,29.2061668275245,0,0,0
"360","Peros_Banhos_Mapou_de_Coin","Sula_leucogaster",0,0,0,0,0,0,0,2,326.3,1.35,29.2061668275245,0,0,0
"361","Salomon_Islands_Boddam","Sula_leucogaster",0,0,0,0,0,0,0,108.5,326.3,1.35,29.2061668275245,0,0,0
"362","Salomon_Islands_Diable","Sula_leucogaster",0,0,0,0,0,0,0,0.5,326.3,1.35,29.2061668275245,0,0,0
"363","Salomon_Islands_Anglaise","Sula_leucogaster",0,0,0,0,0,0,0,75.5,326.3,1.35,29.2061668275245,0,0,0
"366","Salomon_Islands_Takamaka","Sula_leucogaster",0,0,0,0,0,0,0,44,326.3,1.35,29.2061668275245,0,0,0
"367","Salomon_Islands_Fouquet","Sula_leucogaster",0,0,0,0,0,0,0,39.5,326.3,1.35,29.2061668275245,0,0,0
"368","Salomon_Islands_Sepulture","Sula_leucogaster",0,0,0,0,0,0,0,0.5,326.3,1.35,29.2061668275245,0,0,0
"371","Salomon_Islands_Poule","Sula_leucogaster",0,0,0,0,0,0,0,0.5,326.3,1.35,29.2061668275245,0,0,0
"378","Great_Chagos_Bank_Eagle_Island","Fregeta_minor",0,0,0,0,0,0,0,243.5,514,1.495,31.1449930877007,0,0,0
"384","Peros_Banhos_Coin","Fregeta_minor",0,0,0,0,0,0,0,127.5,514,1.495,31.1449930877007,0,0,0
"386","Peros_Banhos_Monpatre_complex","Fregeta_minor",0,0,0,0,0,0,0,4.5,514,1.495,31.1449930877007,0,0,0
"387","Peros_Banhos_Poule","Fregeta_minor",0,0,0,0,0,0,0,108,514,1.495,31.1449930877007,0,0,0
"388","Peros_Banhos_Petit_Souer","Fregeta_minor",0,0,0,0,0,0,0,41.5,514,1.495,31.1449930877007,0,0,0
"389","Peros_Banhos_Grand_Souer","Fregeta_minor",0,0,0,0,0,0,0,64,514,1.495,31.1449930877007,0,0,0
"394","Peros_Banhos_Pierre","Fregeta_minor",0,0,0,0,0,0,0,150,514,1.495,31.1449930877007,0,0,0
"395","Peros_Banhos_Petite_Mapou","Fregeta_minor",0,0,0,0,0,0,0,10,514,1.495,31.1449930877007,0,0,0
"396","Peros_Banhos_Grande_Mapou","Fregeta_minor",0,0,0,0,0,0,0,19.5,514,1.495,31.1449930877007,0,0,0
"397","Peros_Banhos_Diamant","Fregeta_minor",0,0,0,0,0,0,0,88.5,514,1.495,31.1449930877007,0,0,0
"398","Peros_Banhos_Passe","Fregeta_minor",0,0,0,0,0,0,0,22.5,514,1.495,31.1449930877007,0,0,0
"399","Peros_Banhos_Moresby","Fregeta_minor",0,0,0,0,0,0,0,43.5,514,1.495,31.1449930877007,0,0,0
"407","Peros_Banhos_Yeye","Fregeta_minor",0,0,0,0,0,0,0,58.5,514,1.495,31.1449930877007,0,0,0
"412","Peros_Banhos_Fouquet","Fregeta_minor",0,0,0,0,0,0,0,2,514,1.495,31.1449930877007,0,0,0
"413","Peros_Banhos_Mapou_de_Coin","Fregeta_minor",0,0,0,0,0,0,0,2,514,1.495,31.1449930877007,0,0,0
"414","Salomon_Islands_Boddam","Fregeta_minor",0,0,0,0,0,0,0,108.5,514,1.495,31.1449930877007,0,0,0
"415","Salomon_Islands_Diable","Fregeta_minor",0,0,0,0,0,0,0,0.5,514,1.495,31.1449930877007,0,0,0
"416","Salomon_Islands_Anglaise","Fregeta_minor",0,0,0,0,0,0,0,75.5,514,1.495,31.1449930877007,0,0,0
"419","Salomon_Islands_Takamaka","Fregeta_minor",0,0,0,0,0,0,0,44,514,1.495,31.1449930877007,0,0,0
"420","Salomon_Islands_Fouquet","Fregeta_minor",0,0,0,0,0,0,0,39.5,514,1.495,31.1449930877007,0,0,0
"421","Salomon_Islands_Sepulture","Fregeta_minor",0,0,0,0,0,0,0,0.5,514,1.495,31.1449930877007,0,0,0
"424","Salomon_Islands_Poule","Fregeta_minor",0,0,0,0,0,0,0,0.5,514,1.495,31.1449930877007,0,0,0
"431","Great_Chagos_Bank_Eagle_Island","Fregeta_ariel",0,0,0,0,0,0,0,243.5,372,0.945,23.3284737776416,0,0,0
"437","Peros_Banhos_Coin","Fregeta_ariel",0,0,0,0,0,0,0,127.5,372,0.945,23.3284737776416,0,0,0
"439","Peros_Banhos_Monpatre_complex","Fregeta_ariel",0,0,0,0,0,0,0,4.5,372,0.945,23.3284737776416,0,0,0
"440","Peros_Banhos_Poule","Fregeta_ariel",0,0,0,0,0,0,0,108,372,0.945,23.3284737776416,0,0,0
"441","Peros_Banhos_Petit_Souer","Fregeta_ariel",0,0,0,0,0,0,0,41.5,372,0.945,23.3284737776416,0,0,0
"442","Peros_Banhos_Grand_Souer","Fregeta_ariel",0,0,0,0,0,0,0,64,372,0.945,23.3284737776416,0,0,0
"447","Peros_Banhos_Pierre","Fregeta_ariel",0,0,0,0,0,0,0,150,372,0.945,23.3284737776416,0,0,0
