"","Atoll_Island","Species","Census","Value.high.nn","Value.high.nn.q2.5","Value.high.nn.q97.5","Value.low.nn","Value.low.nn.q2.5","Value.low.nn.q.97.5","Size_Ha","Season.length","Mass","Defecation.rate","NitrogenInput.Current","NitrogenInput.high.nn","NitrogenInput.low.nn"
"167","Great_Chagos_Bank_North_Brother","Phaethon_rubricauda",0,0,0,0,0,0,0,6,130,0.675,18.872336185811,0,0,0
"168","Great_Chagos_Bank_Middle_Brother","Phaethon_rubricauda",0,0,0,0,0,0,0,8,130,0.675,18.872336185811,0,0,0
"169","Great_Chagos_Bank_Resurgent","Phaethon_rubricauda",0,0,0,0,0,0,0,0.5,130,0.675,18.872336185811,0,0,0
"170","Great_Chagos_Bank_South_Brother","Phaethon_rubricauda",0,0,0,0,0,0,0,23,130,0.675,18.872336185811,0,0,0
"171","Great_Chagos_Bank_Nelson's_Island","Phaethon_rubricauda",0,0,0,0,0,0,0,81,130,0.675,18.872336185811,0,0,0
"172","Peros_Banhos_Coin","Phaethon_rubricauda",0,0,0,0,0,0,0,127.5,130,0.675,18.872336185811,0,0,0
"173","Peros_Banhos_Anglaise","Phaethon_rubricauda",0,0,0,0,0,0,0,12,130,0.675,18.872336185811,0,0,0
"174","Peros_Banhos_Monpatre_complex","Phaethon_rubricauda",0,0,0,0,0,0,0,4.5,130,0.675,18.872336185811,0,0,0
"175","Peros_Banhos_Poule","Phaethon_rubricauda",0,0,0,0,0,0,0,108,130,0.675,18.872336185811,0,0,0
"176","Peros_Banhos_Petit_Souer","Phaethon_rubricauda",0,0,0,0,0,0,0,41.5,130,0.675,18.872336185811,0,0,0
"177","Peros_Banhos_Grand_Souer","Phaethon_rubricauda",0,0,0,0,0,0,0,64,130,0.675,18.872336185811,0,0,0
"178","Peros_Banhos_Finon","Phaethon_rubricauda",0,0,0,0,0,0,0,1,130,0.675,18.872336185811,0,0,0
"179","Peros_Banhos_Verte","Phaethon_rubricauda",0,0,0,0,0,0,0,3,130,0.675,18.872336185811,0,0,0
"180","Peros_Banhos_Unnamed_Burtle","Phaethon_rubricauda",0,0,0,0,0,0,0,2,130,0.675,18.872336185811,0,0,0
"181","Peros_Banhos_Manon","Phaethon_rubricauda",0,0,0,0,0,0,0,2,130,0.675,18.872336185811,0,0,0
"182","Peros_Banhos_Pierre","Phaethon_rubricauda",0,0,0,0,0,0,0,150,130,0.675,18.872336185811,0,0,0
"183","Peros_Banhos_Petite_Mapou","Phaethon_rubricauda",0,0,0,0,0,0,0,10,130,0.675,18.872336185811,0,0,0
"184","Peros_Banhos_Grande_Mapou","Phaethon_rubricauda",0,0,0,0,0,0,0,19.5,130,0.675,18.872336185811,0,0,0
"185","Peros_Banhos_Diamant","Phaethon_rubricauda",0,0,0,0,0,0,0,88.5,130,0.675,18.872336185811,0,0,0
"186","Peros_Banhos_Passe","Phaethon_rubricauda",0,0,0,0,0,0,0,22.5,130,0.675,18.872336185811,0,0,0
