"","Atoll_Island","Species","Census","Value.high.nn","Value.low.nn","Size_Ha","Season.length","Mass","Defecation.rate","NitrogenInput.Current","NitrogenInput.high.nn","NitrogenInput.low.nn"
"192","Peros_Banhos_Grande_Mapou","Phaethon_rubricauda",0,0,0,19.5,130,0.675,18.872336185811,0,0,0
"193","Peros_Banhos_Diamant","Phaethon_rubricauda",0,0,0,88.5,130,0.675,18.872336185811,0,0,0
"194","Peros_Banhos_Passe","Phaethon_rubricauda",0,0,0,22.5,130,0.675,18.872336185811,0,0,0
"195","Peros_Banhos_Moresby","Phaethon_rubricauda",0,0,0,43.5,130,0.675,18.872336185811,0,0,0
"196","Peros_Banhos_Saint_Brandon","Phaethon_rubricauda",0,0,0,0.5,130,0.675,18.872336185811,0,0,0
"197","Peros_Banhos_Parasol","Phaethon_rubricauda",0,0,0,7.5,130,0.675,18.872336185811,0,0,0
"198","Peros_Banhos_Longue","Phaethon_rubricauda",0,0,0,25.5,130,0.675,18.872336185811,0,0,0
"199","Peros_Banhos_Grand_Bois_Mangue","Phaethon_rubricauda",0,0,0,14.5,130,0.675,18.872336185811,0,0,0
"200","Peros_Banhos_Petite_Bois_Mangue","Phaethon_rubricauda",0,0,0,8.5,130,0.675,18.872336185811,0,0,0
"201","Peros_Banhos_Manoel","Phaethon_rubricauda",0,0,0,50,130,0.675,18.872336185811,0,0,0
"202","Peros_Banhos_Unnamed_Marlin","Phaethon_rubricauda",0,0,0,0.25,130,0.675,18.872336185811,0,0,0
"203","Peros_Banhos_Yeye","Phaethon_rubricauda",0,0,0,58.5,130,0.675,18.872336185811,0,0,0
"204","Peros_Banhos_Petite_Coquillage","Phaethon_rubricauda",0,0,0,17,130,0.675,18.872336185811,0,0,0
"205","Peros_Banhos_Grand_Coquillage","Phaethon_rubricauda",0,0,0,21,130,0.675,18.872336185811,0,0,0
"206","Peros_Banhos_Coin_de_Mire","Phaethon_rubricauda",0,0,0,0.5,130,0.675,18.872336185811,0,0,0
"207","Peros_Banhos_Vache_Marine","Phaethon_rubricauda",0,0,0,8,130,0.675,18.872336185811,0,0,0
"208","Peros_Banhos_Fouquet","Phaethon_rubricauda",0,0,0,2,130,0.675,18.872336185811,0,0,0
"209","Peros_Banhos_Mapou_de_Coin","Phaethon_rubricauda",0,0,0,2,130,0.675,18.872336185811,0,0,0
"210","Salomon_Islands_Boddam","Phaethon_rubricauda",0,0,0,108.5,130,0.675,18.872336185811,0,0,0
"211","Salomon_Islands_Diable","Phaethon_rubricauda",0,0,0,0.5,130,0.675,18.872336185811,0,0,0
